,CNC1,CNC2,CNC3,CNC4,CNC5,CNC6,CNC7,CNC8,N
0,1,1,1,1,1,1,1,2,73
1,1,1,1,1,1,1,2,1,74
2,1,1,1,1,1,1,2,2,132
3,1,1,1,1,1,2,1,1,74
4,1,1,1,1,1,2,1,2,132
5,1,1,1,1,1,2,2,1,132
6,1,1,1,1,1,2,2,2,190
7,1,1,1,1,2,1,1,1,74
8,1,1,1,1,2,1,1,2,132
9,1,1,1,1,2,1,2,1,133
10,1,1,1,1,2,1,2,2,190
11,1,1,1,1,2,2,1,1,132
12,1,1,1,1,2,2,1,2,188
13,1,1,1,1,2,2,2,1,190
14,1,1,1,1,2,2,2,2,195
15,1,1,1,2,1,1,1,1,74
16,1,1,1,2,1,1,1,2,129
17,1,1,1,2,1,1,2,1,129
18,1,1,1,2,1,1,2,2,190
19,1,1,1,2,1,2,1,1,132
20,1,1,1,2,1,2,1,2,189
21,1,1,1,2,1,2,2,1,189
22,1,1,1,2,1,2,2,2,217
23,1,1,1,2,2,1,1,1,132
24,1,1,1,2,2,1,1,2,189
25,1,1,1,2,2,1,2,1,189
26,1,1,1,2,2,1,2,2,217
27,1,1,1,2,2,2,1,1,189
28,1,1,1,2,2,2,1,2,228
29,1,1,1,2,2,2,2,1,228
30,1,1,1,2,2,2,2,2,186
31,1,1,2,1,1,1,1,1,74
32,1,1,2,1,1,1,1,2,129
33,1,1,2,1,1,1,2,1,129
34,1,1,2,1,1,1,2,2,190
35,1,1,2,1,1,2,1,1,132
36,1,1,2,1,1,2,1,2,189
37,1,1,2,1,1,2,2,1,189
38,1,1,2,1,1,2,2,2,217
39,1,1,2,1,2,1,1,1,133
40,1,1,2,1,2,1,1,2,189
41,1,1,2,1,2,1,2,1,189
42,1,1,2,1,2,1,2,2,217
43,1,1,2,1,2,2,1,1,189
44,1,1,2,1,2,2,1,2,228
45,1,1,2,1,2,2,2,1,228
46,1,1,2,1,2,2,2,2,186
47,1,1,2,2,1,1,1,1,132
48,1,1,2,2,1,1,1,2,184
49,1,1,2,2,1,1,2,1,185
50,1,1,2,2,1,1,2,2,222
51,1,1,2,2,1,2,1,1,188
52,1,1,2,2,1,2,1,2,240
53,1,1,2,2,1,2,2,1,240
54,1,1,2,2,1,2,2,2,188
55,1,1,2,2,2,1,1,1,190
56,1,1,2,2,2,1,1,2,240
57,1,1,2,2,2,1,2,1,240
58,1,1,2,2,2,1,2,2,188
59,1,1,2,2,2,2,1,1,222
60,1,1,2,2,2,2,1,2,183
61,1,1,2,2,2,2,2,1,183
62,1,1,2,2,2,2,2,2,127
63,1,2,1,1,1,1,1,1,74
64,1,2,1,1,1,1,1,2,125
65,1,2,1,1,1,1,2,1,125
66,1,2,1,1,1,1,2,2,185
67,1,2,1,1,1,2,1,1,129
68,1,2,1,1,1,2,1,2,183
69,1,2,1,1,1,2,2,1,183
70,1,2,1,1,1,2,2,2,228
71,1,2,1,1,2,1,1,1,129
72,1,2,1,1,2,1,1,2,183
73,1,2,1,1,2,1,2,1,183
74,1,2,1,1,2,1,2,2,228
75,1,2,1,1,2,2,1,1,190
76,1,2,1,1,2,2,1,2,240
77,1,2,1,1,2,2,2,1,240
78,1,2,1,1,2,2,2,2,189
79,1,2,1,2,1,1,1,1,133
80,1,2,1,2,1,1,1,2,183
81,1,2,1,2,1,1,2,1,183
82,1,2,1,2,1,1,2,2,240
83,1,2,1,2,1,2,1,1,189
84,1,2,1,2,1,2,1,2,244
85,1,2,1,2,1,2,2,1,244
86,1,2,1,2,1,2,2,2,189
87,1,2,1,2,2,1,1,1,189
88,1,2,1,2,2,1,1,2,244
89,1,2,1,2,2,1,2,1,244
90,1,2,1,2,2,1,2,2,189
91,1,2,1,2,2,2,1,1,240
92,1,2,1,2,2,2,1,2,183
93,1,2,1,2,2,2,2,1,183
94,1,2,1,2,2,2,2,2,130
95,1,2,2,1,1,1,1,1,133
96,1,2,2,1,1,1,1,2,183
97,1,2,2,1,1,1,2,1,183
98,1,2,2,1,1,1,2,2,240
99,1,2,2,1,1,2,1,1,189
100,1,2,2,1,1,2,1,2,244
101,1,2,2,1,1,2,2,1,244
102,1,2,2,1,1,2,2,2,189
103,1,2,2,1,2,1,1,1,189
104,1,2,2,1,2,1,1,2,244
105,1,2,2,1,2,1,2,1,244
106,1,2,2,1,2,1,2,2,189
107,1,2,2,1,2,2,1,1,240
108,1,2,2,1,2,2,1,2,183
109,1,2,2,1,2,2,2,1,183
110,1,2,2,1,2,2,2,2,129
111,1,2,2,2,1,1,1,1,189
112,1,2,2,2,1,1,1,2,228
113,1,2,2,2,1,1,2,1,228
114,1,2,2,2,1,1,2,2,183
115,1,2,2,2,1,2,1,1,228
116,1,2,2,2,1,2,1,2,183
117,1,2,2,2,1,2,2,1,183
118,1,2,2,2,1,2,2,2,126
119,1,2,2,2,2,1,1,1,228
120,1,2,2,2,2,1,1,2,183
121,1,2,2,2,2,1,2,1,183
122,1,2,2,2,2,1,2,2,125
123,1,2,2,2,2,2,1,1,184
124,1,2,2,2,2,2,1,2,122
125,1,2,2,2,2,2,2,1,122
126,1,2,2,2,2,2,2,2,66
127,2,1,1,1,1,1,1,1,74
128,2,1,1,1,1,1,1,2,126
129,2,1,1,1,1,1,2,1,126
130,2,1,1,1,1,1,2,2,185
131,2,1,1,1,1,2,1,1,129
132,2,1,1,1,1,2,1,2,185
133,2,1,1,1,1,2,2,1,185
134,2,1,1,1,1,2,2,2,228
135,2,1,1,1,2,1,1,1,129
136,2,1,1,1,2,1,1,2,185
137,2,1,1,1,2,1,2,1,185
138,2,1,1,1,2,1,2,2,228
139,2,1,1,1,2,2,1,1,190
140,2,1,1,1,2,2,1,2,240
141,2,1,1,1,2,2,2,1,240
142,2,1,1,1,2,2,2,2,187
143,2,1,1,2,1,1,1,1,132
144,2,1,1,2,1,1,1,2,185
145,2,1,1,2,1,1,2,1,185
146,2,1,1,2,1,1,2,2,240
147,2,1,1,2,1,2,1,1,189
148,2,1,1,2,1,2,1,2,242
149,2,1,1,2,1,2,2,1,242
150,2,1,1,2,1,2,2,2,187
151,2,1,1,2,2,1,1,1,189
152,2,1,1,2,2,1,1,2,242
153,2,1,1,2,2,1,2,1,242
154,2,1,1,2,2,1,2,2,187
155,2,1,1,2,2,2,1,1,240
156,2,1,1,2,2,2,1,2,182
157,2,1,1,2,2,2,2,1,182
158,2,1,1,2,2,2,2,2,128
159,2,1,2,1,1,1,1,1,133
160,2,1,2,1,1,1,1,2,185
161,2,1,2,1,1,1,2,1,185
162,2,1,2,1,1,1,2,2,240
163,2,1,2,1,1,2,1,1,189
164,2,1,2,1,1,2,1,2,242
165,2,1,2,1,1,2,2,1,242
166,2,1,2,1,1,2,2,2,187
167,2,1,2,1,2,1,1,1,189
168,2,1,2,1,2,1,1,2,242
169,2,1,2,1,2,1,2,1,242
170,2,1,2,1,2,1,2,2,187
171,2,1,2,1,2,2,1,1,240
172,2,1,2,1,2,2,1,2,182
173,2,1,2,1,2,2,2,1,182
174,2,1,2,1,2,2,2,2,128
175,2,1,2,2,1,1,1,1,189
176,2,1,2,2,1,1,1,2,228
177,2,1,2,2,1,1,2,1,228
178,2,1,2,2,1,1,2,2,182
179,2,1,2,2,1,2,1,1,228
180,2,1,2,2,1,2,1,2,182
181,2,1,2,2,1,2,2,1,182
182,2,1,2,2,1,2,2,2,125
183,2,1,2,2,2,1,1,1,228
184,2,1,2,2,2,1,1,2,182
185,2,1,2,2,2,1,2,1,182
186,2,1,2,2,2,1,2,2,125
187,2,1,2,2,2,2,1,1,184
188,2,1,2,2,2,2,1,2,122
189,2,1,2,2,2,2,2,1,122
190,2,1,2,2,2,2,2,2,67
191,2,2,1,1,1,1,1,1,132
192,2,2,1,1,1,1,1,2,184
193,2,2,1,1,1,1,2,1,184
194,2,2,1,1,1,1,2,2,222
195,2,2,1,1,1,2,1,1,189
196,2,2,1,1,1,2,1,2,240
197,2,2,1,1,1,2,2,1,240
198,2,2,1,1,1,2,2,2,188
199,2,2,1,1,2,1,1,1,189
200,2,2,1,1,2,1,1,2,240
201,2,2,1,1,2,1,2,1,240
202,2,2,1,1,2,1,2,2,188
203,2,2,1,1,2,2,1,1,222
204,2,2,1,1,2,2,1,2,188
205,2,2,1,1,2,2,2,1,188
206,2,2,1,1,2,2,2,2,129
207,2,2,1,2,1,1,1,1,188
208,2,2,1,2,1,1,1,2,228
209,2,2,1,2,1,1,2,1,228
210,2,2,1,2,1,1,2,2,189
211,2,2,1,2,1,2,1,1,218
212,2,2,1,2,1,2,1,2,189
213,2,2,1,2,1,2,2,1,189
214,2,2,1,2,1,2,2,2,130
215,2,2,1,2,2,1,1,1,218
216,2,2,1,2,2,1,1,2,189
217,2,2,1,2,2,1,2,1,189
218,2,2,1,2,2,1,2,2,129
219,2,2,1,2,2,2,1,1,188
220,2,2,1,2,2,2,1,2,126
221,2,2,1,2,2,2,2,1,125
222,2,2,1,2,2,2,2,2,66
223,2,2,2,1,1,1,1,1,188
224,2,2,2,1,1,1,1,2,228
225,2,2,2,1,1,1,2,1,228
226,2,2,2,1,1,1,2,2,187
227,2,2,2,1,1,2,1,1,218
228,2,2,2,1,1,2,1,2,187
229,2,2,2,1,1,2,2,1,187
230,2,2,2,1,1,2,2,2,128
231,2,2,2,1,2,1,1,1,218
232,2,2,2,1,2,1,1,2,187
233,2,2,2,1,2,1,2,1,187
234,2,2,2,1,2,1,2,2,128
235,2,2,2,1,2,2,1,1,188
236,2,2,2,1,2,2,1,2,125
237,2,2,2,1,2,2,2,1,125
238,2,2,2,1,2,2,2,2,67
239,2,2,2,2,1,1,1,1,194
240,2,2,2,2,1,1,1,2,188
241,2,2,2,2,1,1,2,1,188
242,2,2,2,2,1,1,2,2,129
