,CNC1,CNC2,CNC3,CNC4,CNC5,CNC6,CNC7,CNC8,N
0,1,1,1,1,1,1,1,2,59
1,1,1,1,1,1,1,2,1,59
2,1,1,1,1,1,1,2,2,104
3,1,1,1,1,1,2,1,1,59
4,1,1,1,1,1,2,1,2,104
5,1,1,1,1,1,2,2,1,104
6,1,1,1,1,1,2,2,2,149
7,1,1,1,1,2,1,1,1,59
8,1,1,1,1,2,1,1,2,104
9,1,1,1,1,2,1,2,1,105
10,1,1,1,1,2,1,2,2,149
11,1,1,1,1,2,2,1,1,104
12,1,1,1,1,2,2,1,2,148
13,1,1,1,1,2,2,2,1,149
14,1,1,1,1,2,2,2,2,174
15,1,1,1,2,1,1,1,1,59
16,1,1,1,2,1,1,1,2,101
17,1,1,1,2,1,1,2,1,101
18,1,1,1,2,1,1,2,2,148
19,1,1,1,2,1,2,1,1,105
20,1,1,1,2,1,2,1,2,147
21,1,1,1,2,1,2,2,1,147
22,1,1,1,2,1,2,2,2,191
23,1,1,1,2,2,1,1,1,105
24,1,1,1,2,2,1,1,2,147
25,1,1,1,2,2,1,2,1,147
26,1,1,1,2,2,1,2,2,191
27,1,1,1,2,2,2,1,1,147
28,1,1,1,2,2,2,1,2,196
29,1,1,1,2,2,2,2,1,196
30,1,1,1,2,2,2,2,2,179
31,1,1,2,1,1,1,1,1,59
32,1,1,2,1,1,1,1,2,102
33,1,1,2,1,1,1,2,1,102
34,1,1,2,1,1,1,2,2,149
35,1,1,2,1,1,2,1,1,105
36,1,1,2,1,1,2,1,2,148
37,1,1,2,1,1,2,2,1,148
38,1,1,2,1,1,2,2,2,186
39,1,1,2,1,2,1,1,1,105
40,1,1,2,1,2,1,1,2,148
41,1,1,2,1,2,1,2,1,148
42,1,1,2,1,2,1,2,2,186
43,1,1,2,1,2,2,1,1,148
44,1,1,2,1,2,2,1,2,192
45,1,1,2,1,2,2,2,1,193
46,1,1,2,1,2,2,2,2,179
47,1,1,2,2,1,1,1,1,104
48,1,1,2,2,1,1,1,2,143
49,1,1,2,2,1,1,2,1,145
50,1,1,2,2,1,1,2,2,189
51,1,1,2,2,1,2,1,1,148
52,1,1,2,2,1,2,1,2,193
53,1,1,2,2,1,2,2,1,193
54,1,1,2,2,1,2,2,2,186
55,1,1,2,2,2,1,1,1,149
56,1,1,2,2,2,1,1,2,194
57,1,1,2,2,2,1,2,1,194
58,1,1,2,2,2,1,2,2,186
59,1,1,2,2,2,2,1,1,194
60,1,1,2,2,2,2,1,2,187
61,1,1,2,2,2,2,2,1,187
62,1,1,2,2,2,2,2,2,167
63,1,2,1,1,1,1,1,1,59
64,1,2,1,1,1,1,1,2,99
65,1,2,1,1,1,1,2,1,99
66,1,2,1,1,1,1,2,2,145
67,1,2,1,1,1,2,1,1,101
68,1,2,1,1,1,2,1,2,144
69,1,2,1,1,1,2,2,1,144
70,1,2,1,1,1,2,2,2,193
71,1,2,1,1,2,1,1,1,101
72,1,2,1,1,2,1,1,2,144
73,1,2,1,1,2,1,2,1,144
74,1,2,1,1,2,1,2,2,193
75,1,2,1,1,2,2,1,1,148
76,1,2,1,1,2,2,1,2,188
77,1,2,1,1,2,2,2,1,188
78,1,2,1,1,2,2,2,2,188
79,1,2,1,2,1,1,1,1,105
80,1,2,1,2,1,1,1,2,144
81,1,2,1,2,1,1,2,1,144
82,1,2,1,2,1,1,2,2,193
83,1,2,1,2,1,2,1,1,147
84,1,2,1,2,1,2,1,2,188
85,1,2,1,2,1,2,2,1,188
86,1,2,1,2,1,2,2,2,201
87,1,2,1,2,2,1,1,1,147
88,1,2,1,2,2,1,1,2,188
89,1,2,1,2,2,1,2,1,188
90,1,2,1,2,2,1,2,2,200
91,1,2,1,2,2,2,1,1,189
92,1,2,1,2,2,2,1,2,200
93,1,2,1,2,2,2,2,1,199
94,1,2,1,2,2,2,2,2,169
95,1,2,2,1,1,1,1,1,105
96,1,2,2,1,1,1,1,2,144
97,1,2,2,1,1,1,2,1,144
98,1,2,2,1,1,1,2,2,193
99,1,2,2,1,1,2,1,1,147
100,1,2,2,1,1,2,1,2,188
101,1,2,2,1,1,2,2,1,188
102,1,2,2,1,1,2,2,2,200
103,1,2,2,1,2,1,1,1,147
104,1,2,2,1,2,1,1,2,188
105,1,2,2,1,2,1,2,1,188
106,1,2,2,1,2,1,2,2,199
107,1,2,2,1,2,2,1,1,189
108,1,2,2,1,2,2,1,2,199
109,1,2,2,1,2,2,2,1,198
110,1,2,2,1,2,2,2,2,169
111,1,2,2,2,1,1,1,1,147
112,1,2,2,2,1,1,1,2,188
113,1,2,2,2,1,1,2,1,188
114,1,2,2,2,1,1,2,2,197
115,1,2,2,2,1,2,1,1,193
116,1,2,2,2,1,2,1,2,201
117,1,2,2,2,1,2,2,1,200
118,1,2,2,2,1,2,2,2,161
119,1,2,2,2,2,1,1,1,185
120,1,2,2,2,2,1,1,2,200
121,1,2,2,2,2,1,2,1,199
122,1,2,2,2,2,1,2,2,161
123,1,2,2,2,2,2,1,1,188
124,1,2,2,2,2,2,1,2,161
125,1,2,2,2,2,2,2,1,159
126,1,2,2,2,2,2,2,2,90
127,2,1,1,1,1,1,1,1,59
128,2,1,1,1,1,1,1,2,99
129,2,1,1,1,1,1,2,1,99
130,2,1,1,1,1,1,2,2,145
131,2,1,1,1,1,2,1,1,102
132,2,1,1,1,1,2,1,2,144
133,2,1,1,1,1,2,2,1,144
134,2,1,1,1,1,2,2,2,193
135,2,1,1,1,2,1,1,1,102
136,2,1,1,1,2,1,1,2,144
137,2,1,1,1,2,1,2,1,144
138,2,1,1,1,2,1,2,2,193
139,2,1,1,1,2,2,1,1,148
140,2,1,1,1,2,2,1,2,189
141,2,1,1,1,2,2,2,1,189
142,2,1,1,1,2,2,2,2,188
143,2,1,1,2,1,1,1,1,105
144,2,1,1,2,1,1,1,2,144
145,2,1,1,2,1,1,2,1,144
146,2,1,1,2,1,1,2,2,199
147,2,1,1,2,1,2,1,1,148
148,2,1,1,2,1,2,1,2,189
149,2,1,1,2,1,2,2,1,189
150,2,1,1,2,1,2,2,2,200
151,2,1,1,2,2,1,1,1,148
152,2,1,1,2,2,1,1,2,189
153,2,1,1,2,2,1,2,1,189
154,2,1,1,2,2,1,2,2,199
155,2,1,1,2,2,2,1,1,189
156,2,1,1,2,2,2,1,2,199
157,2,1,1,2,2,2,2,1,198
158,2,1,1,2,2,2,2,2,167
159,2,1,2,1,1,1,1,1,105
160,2,1,2,1,1,1,1,2,144
161,2,1,2,1,1,1,2,1,144
162,2,1,2,1,1,1,2,2,199
163,2,1,2,1,1,2,1,1,148
164,2,1,2,1,1,2,1,2,189
165,2,1,2,1,1,2,2,1,189
166,2,1,2,1,1,2,2,2,199
167,2,1,2,1,2,1,1,1,148
168,2,1,2,1,2,1,1,2,189
169,2,1,2,1,2,1,2,1,189
170,2,1,2,1,2,1,2,2,199
171,2,1,2,1,2,2,1,1,189
172,2,1,2,1,2,2,1,2,198
173,2,1,2,1,2,2,2,1,197
174,2,1,2,1,2,2,2,2,167
175,2,1,2,2,1,1,1,1,148
176,2,1,2,2,1,1,1,2,189
177,2,1,2,2,1,1,2,1,189
178,2,1,2,2,1,1,2,2,196
179,2,1,2,2,1,2,1,1,191
180,2,1,2,2,1,2,1,2,200
181,2,1,2,2,1,2,2,1,199
182,2,1,2,2,1,2,2,2,159
183,2,1,2,2,2,1,1,1,185
184,2,1,2,2,2,1,1,2,199
185,2,1,2,2,2,1,2,1,198
186,2,1,2,2,2,1,2,2,159
187,2,1,2,2,2,2,1,1,187
188,2,1,2,2,2,2,1,2,158
189,2,1,2,2,2,2,2,1,158
190,2,1,2,2,2,2,2,2,89
191,2,2,1,1,1,1,1,1,104
192,2,2,1,1,1,1,1,2,144
193,2,2,1,1,1,1,2,1,144
194,2,2,1,1,1,1,2,2,194
195,2,2,1,1,1,2,1,1,148
196,2,2,1,1,1,2,1,2,189
197,2,2,1,1,1,2,2,1,189
198,2,2,1,1,1,2,2,2,197
199,2,2,1,1,2,1,1,1,148
200,2,2,1,1,2,1,1,2,189
201,2,2,1,1,2,1,2,1,189
202,2,2,1,1,2,1,2,2,196
203,2,2,1,1,2,2,1,1,190
204,2,2,1,1,2,2,1,2,197
205,2,2,1,1,2,2,2,1,197
206,2,2,1,1,2,2,2,2,171
207,2,2,1,2,1,1,1,1,149
208,2,2,1,2,1,1,1,2,189
209,2,2,1,2,1,1,2,1,189
